ADL Book transformering til METS;;;
"Forklaring af værdier i først kolonne: XXX = felt, ""XXX"" = konstant værdi, [XXX] = funktion";;;
Forklaring af værdier i anden kolonne: XXX = element navn, '/' = adskillelse mellem under-element, '@' = attribut, [x] = udgave af element;;;
;;;
ADL;METS;CONDITION;namespace
;mets;;mets
provenanceMetadata/fields/uuid;mets@OBJID;;
"""Book""";mets@TYPE;;
[profile_uri];mets@PROFILE;;
;mets/metsHdr;;mets
[TIME-NOW];mets/metsHdr@CREATEDATE;;
;mets/metsHdr/agent[1];;mets
[Organization-ID];mets/metsHdr/agent[1]@ID;;
"""CREATOR""";mets/metsHdr/agent[1]@ROLE;;
"""ORGANIZATION""";mets/metsHdr/agent[1]@TYPE;;
[Organization-Name];mets/metsHdr/agent[1]/name;;mets
;mets/metsHdr/agent[2];;mets
[Yggdrasil-api-id];mets/metsHdr/agent[2]@ID;;
"""CREATOR""";mets/metsHdr/agent[2]@ROLE;;
"""OTHER""";mets/metsHdr/agent[2]@TYPE;;
"""API""";mets/metsHdr/agent[2]@OTHERTYPE;;
[Yggdrasil-api-name];mets/metsHdr/agent[2]/name;;mets
[Yggdrasil-api-note];mets/metsHdr/agent[2]/note;;mets
;mets/metsHdr/agent[3];;mets
"""kbDkNsa""";mets/metsHdr/agent[3]@ID;;
"""EDITOR""";mets/metsHdr/agent[3]@ROLE;;
"""OTHER""";mets/metsHdr/agent[3]@TYPE;;
"""DEPARTMENT""";mets/metsHdr/agent[3]@OTHERTYPE;;
"""NSA: Nationalsamlingsafdelingen""";mets/metsHdr/agent[3]/name;;mets
;mets/dmdSec;;mets
[DATE-NOW];mets/dmdSec@CREATED;;
"""Mods1""";mets/dmdSec@ID;;
;mets/dmdSec/mdWrap;;mets
"""MODS""";mets/dmdSec/mdWrap@MDTYPE;;
;mets/dmdSec/mdWrap/xmlData;;mets
;mets/dmdSec/mdWrap/xmlData/mods;;mods
descMetadata/mods:mods/mods:genre;mets/dmdSec/mdWrap/xmlData/mods/genre;[copy-of];mods
descMetadata/mods:mods/mods:identifier[@type='isbn'];mets/dmdSec/mdWrap/xmlData/mods/identifier;[copy-of];mods
descMetadata/mods:mods/mods:locator;mets/dmdSec/mdWrap/xmlData/mods/locator;[copy-of];mods
descMetadata/mods:mods/mods:language;mets/dmdSec/mdWrap/xmlData/mods/language;[copy-of];mods
descMetadata/mods:mods/mods:originInfo;mets/dmdSec/mdWrap/xmlData/mods/originInfo;[copy-of];mods
descMetadata/mods:mods/mods:physicalDescription;mets/dmdSec/mdWrap/xmlData/mods/physicalDescription;[copy-of];mods
descMetadata/mods:mods/mods:subject;mets/dmdSec/mdWrap/xmlData/mods/subject;[copy-of];mods
descMetadata/mods:mods/mods:titleInfo;mets/dmdSec/mdWrap/xmlData/mods/titleInfo;[copy-of];mods
descMetadata/mods:mods/mods:typeOfResource;mets/dmdSec/mdWrap/xmlData/mods/typeOfResource;[copy-of];mods
;mets/dmdSec/mdWrap/xmlData/mods/name[x];each author;mods
[CONCAT] """urn:uuid:""" uuid;mets/dmdSec/mdWrap/xmlData/mods/name[x]@valueURI;;
name;mets/dmdSec/mdWrap/xmlData/mods/name[x]/namePart;;mods
;mets/dmdSec/mdWrap/xmlData/mods/name[x]/role;;mods
"""author""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[1];;mods
"""text""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[1]@type;;
"""marcrelator""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[1]@authority;;
"""aut""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[2];;mods
"""code""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[2]@type;;
"""marcrelator""";mets/dmdSec/mdWrap/xmlData/mods/name[x]/role/roleTerm[2]@authority;;
;mets/dmdSec/mdWrap/xmlData/mods/name[y];each related_person;mods
[CONCAT] """urn:uuid:""" uuid;mets/dmdSec/mdWrap/xmlData/mods/name[y]@valueURI;;
name;mets/dmdSec/mdWrap/xmlData/mods/name[y]/namePart;;mods
;mets/dmdSec/mdWrap/xmlData/mods/name[y]/role;;mods
"""related person""";mets/dmdSec/mdWrap/xmlData/mods/name[y]/role/roleTerm;;mods
"""text""";mets/dmdSec/mdWrap/xmlData/mods/name[y]/role/roleTerm@type;;
"""marcrelator""";mets/dmdSec/mdWrap/xmlData/mods/name[y]/role/roleTerm@authority;;
;mets/amdSec;;mets
;mets/amdSec/rightsMD;;mets
[DATE-NOW];mets/amdSec/rightsMD@CREATED;;
"""ModsRights1""";mets/amdSec/rightsMD@ID;;
;mets/amdSec/rightsMD/mdWrap;;mets
"""MODS""";mets/amdSec/rightsMD/mdWrap@MDTYPE;;
;mets/amdSec/rightsMD/mdWrap/xmlData;;mets
;mets/amdSec/rightsMD/mdWrap/xmlData/mods;;mods
[MODS-ACCESS];mets/amdSec/rightsMD/mdWrap/xmlData/mods/accessCondition;;mods
;mets/amdSec/digiprovMD[1];;mets
[DATE-NOW];mets/amdSec/digiprovMD[1]@CREATED;;
"""Premis1""";mets/amdSec/digiprovMD[1]@ID;;
;mets/amdSec/digiprovMD[1]/mdWrap;;mets
"""PREMIS""";mets/amdSec/digiprovMD[1]/mdWrap@MDTYPE;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData;;mets
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1];;premis
preservationMetadata/fields/preservation_bitsafety;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelValue;;premis
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelDateAssigned;;premis
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2];;premis
preservationMetadata/fields/preservation_confidentiality;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelValue;;premis
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelDateAssigned;;premis
;mets/amdSec/digiprovMD[2];;mets
"""PremisEvent1""";mets/amdSec/digiprovMD[2]@ID;;
[DATE-NOW];mets/amdSec/digiprovMD[2]@CREATED;;
;mets/amdSec/digiprovMD[2]/mdWrap;;mets
"""PREMIS:EVENT""";mets/amdSec/digiprovMD[2]/mdWrap@MDTYPE;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData;;mets
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier;;premis
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierType;;premis
[UUID];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierValue;;premis
"""ingestion""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventType;;premis
[DATE-NOW];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventDateTime;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier;;premis
"""kbDkInternal""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierType;;premis
"""kbDkIngest""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierValue;;premis
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier;;premis
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierType;;premis
provenanceMetadata/fields/uuid;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierValue;;premis
;mets/structMap;;mets
"""logical""";mets/structMap@TYPE;;
;mets/structMap/div;;mets
"""Mods1""";mets/structMap/div@DMDID;;
"""ModsRights1 Premis1 PremisEvent1""";mets/structMap/div@AMDID;;
;mets/structMap/div/div[x];each representation;mets
name;mets/structMap/div/div[x]@LABEL;;
;mets/structMap/div/div[x]/mptr;;mets
"""URN""";mets/structMap/div/div[x]/mptr@LOCTYPE;;
[CONCAT] """urn:uuid:""" uuid;mets/structMap/div/div[x]/mptr@xlink:href;;
