FILE transformering til METS;;;;;
Forklaring af værdier i først kolonne: XXX = felt, "XXX" = konstant værdi, [XXX] = funktion;;;;;
Forklaring af værdier i anden kolonne: XXX = element navn, '/' = adskillelse mellem under-element, '@' = attribut, [x] = udgave af element;;;;;
;;;;;
;METS;CONDITION;namespace;Kommentar;
;mets;;mets;;
provenanceMetadata/fields/uuid;mets@OBJID;;;;
"""File""";mets@TYPE;;;;
[ProfileURL];mets@PROFILE;;;;
;mets/metsHdr;;mets;;
[DATE-NOW];mets/metsHdr@CREATEDATE;;;;
;mets/metsHdr/agent[1];;mets;;
[OrganizationID];mets/metsHdr/agent[1]@ID;;;;
"""CREATOR""";mets/metsHdr/agent[1]@ROLE;;;;
"""ORGANIZATION""";mets/metsHdr/agent[1]@TYPE;;;;
[OrganizationName];mets/metsHdr/agent[1]/name;;mets;;
;mets/metsHdr/agent[2];;mets;;
[APIID];mets/metsHdr/agent[2]@ID;;;;
"""CREATOR""";mets/metsHdr/agent[2]@ROLE;;;;
"""OTHER""";mets/metsHdr/agent[2]@TYPE;;;;
"""API""";mets/metsHdr/agent[2]@OTHERTYPE;;;;
[APIName];mets/metsHdr/agent[2]/name;;mets;;
[APINote];mets/metsHdr/agent[2]/note;;mets;;
;mets/metsHdr/agent[3];;mets;;
[DepartmentID];mets/metsHdr/agent[3]@ID;;;;
"""EDITOR""";mets/metsHdr/agent[3]@ROLE;;;;
"""OTHER""";mets/metsHdr/agent[3]@TYPE;;;;
"""DEPARTMENT""";mets/metsHdr/agent[3]@OTHERTYPE;;;;
[DepartmentName];mets/metsHdr/agent[3]/name;;mets;;
;mets/amdSec/techMD;;mets;;
"""PremisObject1""";mets/amdSec/techMD@ID;;;;
[DATE-NOW];mets/amdSec/techMD@CREATED;;;;
;mets/amdSec/techMD/mdWrap;;mets;;
"""PREMIS:OBJECT""";mets/amdSec/techMD/mdWrap@MDTYPE;;;;
;mets/amdSec/techMD/mdWrap/xmlData;;mets;;
;mets/amdSec/techMD/mdWrap/xmlData/object;;premis;;
;mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier;;premis;;
"""UUID""";mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier/objectIdentifierType;;premis;;
techMetadata/fields/file_uuid;mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier/objectIdentifierValue;;premis;;
;mets/amdSec/techMD/mdWrap/xmlData/object/significantProperties;;premis;;
;mets/amdSec/techMD/mdWrap/xmlData/object/significantProperties/significantPropertiesExtension;;premis;;
fitsMetadata;mets/amdSec/techMD/mdWrap/xmlData/object/significantProperties/significantPropertiesExtension;;Premis;Indholdet af FITS metadata;
;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics;;premis;;
0;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/compositionLevel;;premis;Mandatory for a PREMIS File object; set to 0 (zero - the default value) here as no information is received from the repository.
;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/fixity;;premis;;
"""MD5""";mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/fixity/messageDigestAlgorithm;;premis;;
techMetadata/fields/file_checksum;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/fixity/messageDigest;;premis;;
"""Det Kongelige Bibliotek""";mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/fixity/messageDigestOriginator;;premis;;
techMetadata/fields/file_size;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/size;;premis;;
;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/format/;;premis;;
;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/format/formatDesignation;;premis;;
techMetadata/fields/mime_type;mets/amdSec/techMD/mdWrap/xmlData/object/objectCharacteristics/format/formatDesignation/formatName;;premis;"I KBDOMS er værdien af formatName feltet et format navn som fx ""TIFF Image""; men da værdien som her modtages er en MIME-TYPE bruges denne i stedet for. Hvis det senere bliver muligt også at modtage feltværdien som format navn er formatDesignationComplexType som formatName er en del af en xs:sequence type og denne vil derfor kunne tilføjes. Det at bruge MIME-TYPE værdier i forbindelse med formatName bliver også brugt af The National Library of Australia; hvilket fx fremgår af Figur 5 i dokumentet ""A Checklist and a Case for Documenting PREMIS-METS Decisions in a METS Profile"" som kan findes her: http://www.dlib.org/dlib/september10/vermaaten/09vermaaten.html og her: http://www.loc.gov/standards/premis/premis_mets_checklist.pdf";
techMetadata/fields/original_filename;mets/amdSec/techMD/mdWrap/xmlData/object/originalName;;premis;;
;mets/amdSec/rightsMD;;mets;;
"""ModsRights1""";mets/amdSec/rightsMD@ID;;;;
[DATE-NOW];mets/amdSec/rightsMD@CREATED;;;;
;mets/amdSec/rightsMD/mdWrap;;mets;;
"""MODS""";mets/amdSec/rightsMD/mdWrap@MDTYPE;;;;
;mets/amdSec/rightsMD/mdWrap/xmlData;;mets;;
;mets/amdSec/rightsMD/mdWrap/xmlData/mods;;mods;;
[ModsAccessCondition];mets/amdSec/rightsMD/mdWrap/xmlData/mods/accessCondition;;mods;;
;mets/amdSec/digiprovMD[1];;mets;;
"""Premis1""";mets/amdSec/digiprovMD[1]@ID;;;;
[DATE-NOW];mets/amdSec/digiprovMD[1]@CREATED;;;;
;mets/amdSec/digiprovMD[1]/mdWrap;;mets;;
"""PREMIS""";mets/amdSec/digiprovMD[1]/mdWrap@MDTYPE;;;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData;;mets;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1];;premis;;
preservationMetadata/fields/preservation_bitsafety;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelValue;;premis;;
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelDateAssigned;;premis;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2];;premis;;
preservationMetadata/fields/preservation_confidentiality;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelValue;;premis;;
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelDateAssigned;;premis;;
;mets/amdSec/digiprovMD[2];;mets;;
"""PremisEvent1""";mets/amdSec/digiprovMD[2]@ID;;;;
[DATE-NOW];mets/amdSec/digiprovMD[2]@CREATED;;;;
;mets/amdSec/digiprovMD[2]/mdWrap;;mets;;
"""PREMIS:EVENT""";mets/amdSec/digiprovMD[2]/mdWrap@MDTYPE;;;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData;;mets;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event;;premis;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier;;premis;;
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierType;;premis;;
[UUID];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierValue;;premis;;
"""ingestion""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventType;;premis;;
[DATE-NOW];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventDateTime;;premis;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier;;premis;;
"""URL”";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierType;;premis;;
[IngestAgentURL];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierValue;;premis;;
“Ingest”;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierRole;;premis;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier;;premis;;
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierType;;premis;;
provenanceMetadata/fields/file_uuid;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierValue;;premis;;
;mets/fileSec;;mets;;
;mets/fileSec/fileGrp;;mets;;
;mets/fileSec/fileGrp/file;;mets;;
"[CONCAT('Fil-', techMetadata/fields/file_uuid)]";mets/fileSec/fileGrp/file@ID;;;;
