INSTANCE transformering til METS;;;;
Forklaring af værdier i først kolonne: XXX = felt, "XXX" = konstant værdi, [XXX] = funktion;;;;
Forklaring af værdier i anden kolonne: XXX = element navn, '/' = adskillelse mellem under-element, '@' = attribut, [x] = udgave af element;;;;
;;;;
;METS;CONDITION;namespace;Kommentar
;mets;;mets;
provenanceMetadata/fields/uuid;mets@OBJID;;;
"""Instance""";mets@TYPE;;;
[ProfileURL];mets@PROFILE;;;
;mets/metsHdr;;mets;
[DATE-NOW];mets/metsHdr@CREATEDATE;;;
;mets/metsHdr/agent[1];;mets;
[OrganizationID];mets/metsHdr/agent[1]@ID;;;
"""CREATOR""";mets/metsHdr/agent[1]@ROLE;;;
"""ORGANIZATION""";mets/metsHdr/agent[1]@TYPE;;;
[OrganizationName];mets/metsHdr/agent[1]/name;;mets;
;mets/metsHdr/agent[2];;mets;
[APIID];mets/metsHdr/agent[2]@ID;;;
"""CREATOR""";mets/metsHdr/agent[2]@ROLE;;;
"""OTHER""";mets/metsHdr/agent[2]@TYPE;;;
"""API""";mets/metsHdr/agent[2]@OTHERTYPE;;;
[APIName];mets/metsHdr/agent[2]/name;;mets;
[APINote];mets/metsHdr/agent[2]/note;;mets;
;mets/metsHdr/agent[3];;mets;
[DepartmentID];mets/metsHdr/agent[3]@ID;;;
"""EDITOR""";mets/metsHdr/agent[3]@ROLE;;;
"""OTHER""";mets/metsHdr/agent[3]@TYPE;;;
"""DEPARTMENT""";mets/metsHdr/agent[3]@OTHERTYPE;;;
[DepartmentName];mets/metsHdr/agent[3]/name;;mets;
;mets/dmdSec;;;
"""Mods1""";mets/dmdSec@ID;;;
[DATE-NOW];mets/dmdSec@CREATED;;;
;mets/dmdSec/mdWrap;;mets;
"""MODS""";mets/dmdSec/mdWrap@MDTYPE;;;
;mets/dmdSec/mdWrap/xmlData;;mets;
//mods:mods;mets/dmdSec/mdWrap/xmlData/mods;;mods;
;mets/amdSec/techMD;;mets;
"""PremisObject1""";mets/amdSec/techMD@ID;;;
[DATE-NOW];mets/amdSec/techMD@CREATED;;;
;mets/amdSec/techMD/mdWrap;;mets;
"""PREMIS:OBJECT""";mets/amdSec/techMD/mdWrap@MDTYPE;;;
;mets/amdSec/techMD/mdWrap/xmlData;;mets;
;mets/amdSec/techMD/mdWrap/xmlData/object;;premis;
;mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier;;premis;
"""UUID""";mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier/objectIdentifierType;;premis;
techMetadata/fields/file_uuid;mets/amdSec/techMD/mdWrap/xmlData/object/objectIdentifier/objectIdentifierValue;;premis;
;mets/amdSec/techMD/mdWrap/xmlData/object/linkingIntellectualEntityIdentifier;;premis;
“UUID”;mets/amdSec/techMD/mdWrap/xmlData/object/linkingIntellectualEntityIdentifier/linkingIntellectualEntityIdentifierType;;premis;
provenanceMetadata/fields/work_uuid;mets/amdSec/techMD/mdWrap/xmlData/object/linkingIntellectualEntityIdentifier/linkingIntellectualEntityIdentifierValue;;premis;
;mets/amdSec/rightsMD;;mets;
"""ModsRights1""";mets/amdSec/rightsMD@ID;;;
[DATE-NOW];mets/amdSec/rightsMD@CREATED;;;
;mets/amdSec/rightsMD/mdWrap;;mets;
"""MODS""";mets/amdSec/rightsMD/mdWrap@MDTYPE;;;
;mets/amdSec/rightsMD/mdWrap/xmlData;;mets;
;mets/amdSec/rightsMD/mdWrap/xmlData/mods;;mods;
[ModsAccessCondition];mets/amdSec/rightsMD/mdWrap/xmlData/mods/accessCondition;;mods;
;mets/amdSec/digiprovMD[1];;mets;
"""Premis1""";mets/amdSec/digiprovMD[1]@ID;;;
[DATE-NOW];mets/amdSec/digiprovMD[1]@CREATED;;;
;mets/amdSec/digiprovMD[1]/mdWrap;;mets;
"""PREMIS""";mets/amdSec/digiprovMD[1]/mdWrap@MDTYPE;;;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData;;mets;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1];;premis;
preservationMetadata/fields/preservation_bitsafety;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelValue;;premis;
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[1]/preservationLevelDateAssigned;;premis;
;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2];;premis;
preservationMetadata/fields/preservation_confidentiality;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelValue;;premis;
preservationMetadata/fields/preservation_modify_date;mets/amdSec/digiprovMD[1]/mdWrap/xmlData/preservationLevel[2]/preservationLevelDateAssigned;;premis;
;mets/amdSec/digiprovMD[2];;mets;
"""PremisEvent1""";mets/amdSec/digiprovMD[2]@ID;;;
[DATE-NOW];mets/amdSec/digiprovMD[2]@CREATED;;;
;mets/amdSec/digiprovMD[2]/mdWrap;;mets;
"""PREMIS:EVENT""";mets/amdSec/digiprovMD[2]/mdWrap@MDTYPE;;;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData;;mets;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event;;premis;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier;;premis;
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierType;;premis;
[UUID];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventIdentifier/eventIdentifierValue;;premis;
"""ingestion""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventType;;premis;
[DATE-NOW];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/eventDateTime;;premis;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier;;premis;
"""URL”";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierType;;premis;
[IngestAgentURL];mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierValue;;premis;
“Ingest”;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingAgentIdentifier/linkingAgentIdentifierRole;;premis;
;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier;;premis;
"""UUID""";mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierType;;premis;
provenanceMetadata/fields/uuid;mets/amdSec/digiprovMD[2]/mdWrap/xmlData/event/linkingObjectIdentifier/linkingObjectIdentifierValue;;premis;
;mets/fileSec;;mets;
;mets/fileSec/fileGrp;;mets;
;mets/fileSec/fileGrp/file;;mets;
"[CONCAT('Fil-', techMetadata/fields/file_uuid)]";mets/fileSec/fileGrp/file@ID;;mets;
;mets/fileSec/fileGrp/file/Flocat;;mets;
"""URN""";mets/fileSec/fileGrp/file/Flocat@LOCTYPE;;mets;
"[CONCAT('urn:uuid:', techMetadata/fields/file_uuid)]";mets/fileSec/fileGrp/file/Flocat@xlink:href;;mets;
;mets/structMap;If file;mets;
"""logical""";mets/structMap@TYPE;;mets;
;mets/structMap/div;;mets;
"""Mods1""";mets/structMap/div@DMDID;;mets;
"""ModsRights1 Premis1 PremisEvent1"" ""PremisObject1""";mets/structMap/div@AMDID;;mets;
;mets/structMap/div;For-each file;mets;
;mets/structMap/div/div;;mets;
“name”;mets/structMap/div/div@LABEL;;mets;
;mets/structMap/div/div/mptr;;mets;
"""URN""";mets/structMap/div/div/mptr@LOCTYPE;;mets;
"[CONCAT('urn:uuid: ', uuid)]";mets/structMap/div/div/mptr@xlink:href;;mets;
